ROAD_CLASS,DISTRICT,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,DIVISION
Major Arterial,Toronto and East York,At Intersection,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D11
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,75 to 79,Major,East,Other,Going Ahead,Driving Properly,Normal,D11
Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D33
Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D33
Minor Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Wet,Fatal,Approaching,Driver,50 to 54,Fatal,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,D42
Minor Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Wet,Fatal,Approaching,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D42
Minor Arterial,Scarborough,At Intersection,No Control,Clear,Dark,Wet,Fatal,Approaching,Driver,35 to 39,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D42
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Minimal,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,D51
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Major,East,Passenger Van,Going Ahead,Driving Properly,Normal,D51
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D51
Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D51
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,10 to 14,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,20 to 24,Major,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Normal,D23
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,10 to 14,Fatal,East,Other,Going Ahead,Driving Properly,Normal,D23
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,East,Other,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,Major,East,Municipal Transit Bus (TTC),Turning Right,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,80 to 84,Minor,North,"Automobile, Station Wagon",Going Ahead,Other,Medical or Physical Disability,D41
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,55 to 59,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Collector,North York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Passenger,15 to 19,Minimal,East,Other,Going Ahead,Driving Properly,Normal,D55
Collector,North York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Passenger,15 to 19,Minimal,East,Other,Going Ahead,Driving Properly,Normal,D55
Collector,North York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Passenger,15 to 19,Fatal,East,Other,Going Ahead,Driving Properly,Normal,D55
Collector,North York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Collector,North York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Driver,15 to 19,Major,East,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive,D55
Collector,North York,At Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D31
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,Major,South,"Automobile, Station Wagon",Slowing or Stopping,Speed too Fast For Condition,Normal,D31
Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,80 to 84,Major,East,Other,Going Ahead,Driving Properly,Normal,D31
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D53
Major Arterial,North York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,North,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D11
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,East,Other,Going Ahead,Driving Properly,Normal,D11
Major Arterial,North York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D32
Major Arterial,North York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,South,Other,Going Ahead,Driving Properly,Normal,D32
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,Major,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,D43
Minor Arterial,Scarborough,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Major,South,Other,Going Ahead,Driving Properly,Normal,D43
Local,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Local,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,Major,North,"Automobile, Station Wagon",Other,Other,Unknown,D55
Local,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,Major,South,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Major,West,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,West,Other,Going Ahead,Driving Properly,Normal,D42
Collector,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,East,Other,Going Ahead,Driving Properly,Normal,D43
Collector,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D43
Collector,Scarborough,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,Major,East,"Automobile, Station Wagon",Going Ahead,Other,Had Been Drinking,D43
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,85 to 89,Major,West,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D53
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Passenger,35 to 39,Major,East,Other,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Driver,40 to 44,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Driver,35 to 39,Fatal,South,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown,D41
Collector,Scarborough,At Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Passenger,10 to 14,Major,East,Other,Going Ahead,Driving Properly,Normal,D42
Collector,Scarborough,At Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Driver,40 to 44,Major,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,D42
Collector,Scarborough,At Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,North,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Passenger,15 to 19,Minimal,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,15 to 19,Major,North,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,45 to 49,Fatal,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,15 to 19,Minimal,North,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D53
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,Major,East,"Automobile, Station Wagon",Changing Lanes,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,Major,West,"Automobile, Station Wagon",Changing Lanes,Driving Properly,Normal,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,Major,East,Taxi,Going Ahead,Exceeding Speed Limit,Unknown,D14
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,South,Other,Going Ahead,Driving Properly,Normal,D14
Collector,North York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,20 to 24,Major,East,Other,Going Ahead,Driving Properly,Normal,D32
Collector,North York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,20 to 24,Minor,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,D32
Collector,North York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D32
Major Arterial,Etobicoke York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Driver,20 to 24,Major,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D22
Major Arterial,Etobicoke York,At Intersection,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,South,Other,Going Ahead,Driving Properly,Normal,D22
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,Major,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,D13
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,Major,North,Other,Going Ahead,Driving Properly,Normal,D13
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,50 to 54,Major,East,Other,Going Ahead,Driving Properly,Normal,D52
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,Major,South,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,D52
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D52
Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,Major,South,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,D52
Major Arterial,Scarborough,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,70 to 74,Major,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,D42
Major Arterial,Scarborough,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,Major,West,Other,Going Ahead,Driving Properly,Normal,D42
Major Arterial,Scarborough,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,Major,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,D41
Major Arterial,Scarborough,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,Major,South,Other,Going Ahead,Driving Properly,Normal,D41
Major Arterial,Toronto and East York,At Intersection,Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,Major,South,"Automobile, Station Wagon",Going Ahead,Other,Inattentive,D11
Major Arterial,Toronto and East York,At Intersection,Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,80 to 84,Major,East,Other,Going Ahead,Driving Properly,Normal,D11
Minor Arterial,Toronto and East York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,Major,West,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Normal,D11
Minor Arterial,Toronto and East York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,South,Other,Going Ahead,Driving Properly,Normal,D11
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,Major,North,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,D23
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,80 to 84,Major,South,Other,Going Ahead,Driving Properly,Normal,D23
Collector,North York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,65 to 69,Major,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,D33
Collector,North York,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,South,Bicycle,Going Ahead,Driving Properly,Normal,D33
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,40 to 44,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Passenger,5 to 9,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Passenger,0 to 4,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D41
Major Arterial,Scarborough,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,30 to 34,Major,North,"Automobile, Station Wagon",Going Ahead,Lost control,Normal,D41
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,50 to 54,Major,South,"Automobile, Station Wagon",Going Ahead,Following too Close,Fatigue,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,Minimal,South,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Normal,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Major Arterial,Toronto and East York,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Other Property Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Local,Toronto and East York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,North,Other,Going Ahead,Driving Properly,Normal,D55
Local,Toronto and East York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
Local,Toronto and East York,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,70 to 74,Major,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,D55
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Major,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Minor,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,55 to 59,Major,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,35 to 39,Minor,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,D12
Major Arterial,Etobicoke York,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,Major,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown,D12
Local,Toronto and East York,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,East,Other,Going Ahead,Driving Properly,Normal,D55
Local,Toronto and East York,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,Major,East,Other,Going Ahead,Driving Properly,Normal,D55
